id,hdbscan_cluster__autocolour
sample_1,11
sample_2,11
sample_3,11
sample_4,11
sample_5,11
sample_6,11
sample_7,11
sample_8,11
sample_9,11
sample_10,11
sample_11,11
sample_12,11
sample_13,-1
sample_14,11
sample_15,10
sample_16,11
sample_17,11
sample_18,11
sample_19,10
sample_20,11
sample_21,10
sample_22,13
sample_23,11
sample_24,11
sample_25,10
sample_26,13
sample_27,11
sample_28,10
sample_29,11
sample_30,10
sample_31,10
sample_32,10
sample_33,14
sample_34,11
sample_35,11
sample_36,10
sample_37,11
sample_38,10
sample_39,14
sample_40,10
sample_41,14
sample_42,14
sample_43,10
sample_44,11
sample_45,10
sample_46,10
sample_47,-1
sample_48,10
sample_49,-1
sample_50,10
sample_51,21
sample_52,24
sample_53,21
sample_54,24
sample_55,24
sample_56,21
sample_57,21
sample_58,21
sample_59,24
sample_60,21
sample_61,23
sample_62,21
sample_63,21
sample_64,21
sample_65,24
sample_66,21
sample_67,21
sample_68,25
sample_69,23
sample_70,25
sample_71,-1
sample_72,25
sample_73,25
sample_74,25
sample_75,25
sample_76,25
sample_77,22
sample_78,22
sample_79,22
sample_80,25
sample_81,22
sample_82,25
sample_83,22
sample_84,25
sample_85,4
sample_86,22
sample_87,25
sample_88,25
sample_89,25
sample_90,-1
sample_91,25
sample_92,22
sample_93,18
sample_94,4
sample_95,18
sample_96,25
sample_97,18
sample_98,22
sample_99,-1
sample_100,-1
sample_101,6
sample_102,6
sample_103,6
sample_104,6
sample_105,6
sample_106,6
sample_107,6
sample_108,2
sample_109,6
sample_110,6
sample_111,6
sample_112,2
sample_113,2
sample_114,6
sample_115,6
sample_116,6
sample_117,6
sample_118,6
sample_119,6
sample_120,6
sample_121,6
sample_122,6
sample_123,2
sample_124,6
sample_125,2
sample_126,2
sample_127,2
sample_128,2
sample_129,6
sample_130,2
sample_131,6
sample_132,6
sample_133,2
sample_134,6
sample_135,6
sample_136,6
sample_137,5
sample_138,5
sample_139,2
sample_140,2
sample_141,6
sample_142,6
sample_143,6
sample_144,6
sample_145,2
sample_146,2
sample_147,6
sample_148,6
sample_149,2
sample_150,2
sample_151,19
sample_152,16
sample_153,19
sample_154,0
sample_155,16
sample_156,16
sample_157,19
sample_158,16
sample_159,0
sample_160,16
sample_161,20
sample_162,19
sample_163,16
sample_164,16
sample_165,16
sample_166,16
sample_167,12
sample_168,16
sample_169,16
sample_170,20
sample_171,16
sample_172,20
sample_173,20
sample_174,20
sample_175,12
sample_176,16
sample_177,0
sample_178,0
sample_179,16
sample_180,20
sample_181,20
sample_182,0
sample_183,20
sample_184,15
sample_185,0
sample_186,20
sample_187,-1
sample_188,15
sample_189,16
sample_190,15
sample_191,7
sample_192,17
sample_193,16
sample_194,0
sample_195,17
sample_196,16
sample_197,12
sample_198,20
sample_199,-1
sample_200,7
sample_201,9
sample_202,9
sample_203,9
sample_204,9
sample_205,1
sample_206,9
sample_207,3
sample_208,9
sample_209,3
sample_210,9
sample_211,9
sample_212,9
sample_213,9
sample_214,9
sample_215,3
sample_216,3
sample_217,9
sample_218,1
sample_219,9
sample_220,1
sample_221,9
sample_222,3
sample_223,9
sample_224,9
sample_225,9
sample_226,1
sample_227,1
sample_228,1
sample_229,9
sample_230,9
sample_231,9
sample_232,3
sample_233,3
sample_234,1
sample_235,1
sample_236,1
sample_237,1
sample_238,8
sample_239,8
sample_240,8
sample_241,3
sample_242,1
sample_243,3
sample_244,1
sample_245,3
sample_246,1
sample_247,1
sample_248,3
sample_249,3
sample_250,3
