id,hdbscan_cluster__autocolour
sample_1,1
sample_2,1
sample_3,1
sample_4,1
sample_5,1
sample_6,1
sample_7,1
sample_8,1
sample_9,1
sample_10,1
sample_11,1
sample_12,1
sample_13,1
sample_14,1
sample_15,1
sample_16,1
sample_17,1
sample_18,1
sample_19,3
sample_20,1
sample_21,3
sample_22,3
sample_23,4
sample_24,4
sample_25,4
sample_26,4
sample_27,7
sample_28,7
sample_29,7
sample_30,8
sample_31,8
sample_32,8
sample_33,8
sample_34,-1
sample_35,8
sample_36,8
sample_37,8
sample_38,8
sample_39,8
sample_40,12
sample_41,12
sample_42,13
sample_43,13
sample_44,13
sample_45,13
sample_46,13
sample_47,13
sample_48,13
sample_49,13
sample_50,9
sample_51,9
sample_52,9
sample_53,9
sample_54,9
sample_55,10
sample_56,10
sample_57,9
sample_58,10
sample_59,10
sample_60,18
sample_61,14
sample_62,14
sample_63,18
sample_64,18
sample_65,14
sample_66,18
sample_67,18
sample_68,21
sample_69,21
sample_70,18
sample_71,22
sample_72,22
sample_73,18
sample_74,22
sample_75,22
sample_76,22
sample_77,22
sample_78,0
sample_79,26
sample_80,22
sample_81,0
sample_82,26
sample_83,15
sample_84,15
sample_85,15
sample_86,15
sample_87,15
sample_88,15
sample_89,15
sample_90,15
sample_91,15
sample_92,15
sample_93,27
sample_94,15
sample_95,15
sample_96,15
sample_97,26
sample_98,26
sample_99,19
sample_100,19
sample_101,-1
sample_102,23
sample_103,27
sample_104,27
sample_105,23
sample_106,23
sample_107,23
sample_108,23
sample_109,11
sample_110,11
sample_111,11
sample_112,5
sample_113,5
sample_114,-1
sample_115,5
sample_116,20
sample_117,20
sample_118,24
sample_119,24
sample_120,25
sample_121,24
sample_122,25
sample_123,-1
sample_124,25
sample_125,25
sample_126,25
sample_127,25
sample_128,25
sample_129,25
sample_130,-1
sample_131,25
sample_132,33
sample_133,33
sample_134,33
sample_135,25
sample_136,34
sample_137,34
sample_138,34
sample_139,31
sample_140,31
sample_141,-1
sample_142,-1
sample_143,32
sample_144,36
sample_145,32
sample_146,32
sample_147,35
sample_148,35
sample_149,36
sample_150,35
sample_151,36
sample_152,36
sample_153,37
sample_154,37
sample_155,37
sample_156,38
sample_157,38
sample_158,28
sample_159,38
sample_160,38
sample_161,38
sample_162,29
sample_163,-1
sample_164,30
sample_165,30
sample_166,-1
sample_167,30
sample_168,30
sample_169,29
sample_170,29
sample_171,28
sample_172,29
sample_173,29
sample_174,29
sample_175,17
sample_176,-1
sample_177,17
sample_178,17
sample_179,-1
sample_180,17
sample_181,17
sample_182,17
sample_183,17
sample_184,2
sample_185,17
sample_186,17
sample_187,6
sample_188,2
sample_189,17
sample_190,6
sample_191,16
sample_192,6
sample_193,16
sample_194,17
sample_195,16
sample_196,16
sample_197,6
sample_198,6
sample_199,16
sample_200,16
