id,hdbscan_cluster__autocolour
sample_1,16
sample_2,16
sample_3,16
sample_4,16
sample_5,16
sample_6,16
sample_7,16
sample_8,16
sample_9,16
sample_10,16
sample_11,16
sample_12,16
sample_13,16
sample_14,16
sample_15,16
sample_16,16
sample_17,16
sample_18,16
sample_19,16
sample_20,16
sample_21,16
sample_22,16
sample_23,16
sample_24,16
sample_25,16
sample_26,16
sample_27,16
sample_28,16
sample_29,16
sample_30,16
sample_31,16
sample_32,16
sample_33,16
sample_34,16
sample_35,16
sample_36,16
sample_37,16
sample_38,16
sample_39,16
sample_40,16
sample_41,15
sample_42,15
sample_43,-1
sample_44,1
sample_45,15
sample_46,6
sample_47,1
sample_48,6
sample_49,1
sample_50,16
sample_51,29
sample_52,-1
sample_53,30
sample_54,30
sample_55,29
sample_56,30
sample_57,30
sample_58,30
sample_59,30
sample_60,30
sample_61,30
sample_62,30
sample_63,30
sample_64,30
sample_65,30
sample_66,30
sample_67,30
sample_68,32
sample_69,30
sample_70,31
sample_71,31
sample_72,32
sample_73,32
sample_74,32
sample_75,31
sample_76,32
sample_77,26
sample_78,31
sample_79,32
sample_80,26
sample_81,26
sample_82,26
sample_83,26
sample_84,26
sample_85,26
sample_86,26
sample_87,26
sample_88,26
sample_89,26
sample_90,-1
sample_91,26
sample_92,26
sample_93,-1
sample_94,-1
sample_95,-1
sample_96,22
sample_97,22
sample_98,22
sample_99,17
sample_100,17
sample_101,28
sample_102,-1
sample_103,28
sample_104,28
sample_105,28
sample_106,28
sample_107,28
sample_108,28
sample_109,28
sample_110,28
sample_111,28
sample_112,28
sample_113,28
sample_114,28
sample_115,28
sample_116,28
sample_117,28
sample_118,28
sample_119,28
sample_120,28
sample_121,25
sample_122,28
sample_123,28
sample_124,25
sample_125,5
sample_126,28
sample_127,25
sample_128,25
sample_129,28
sample_130,28
sample_131,27
sample_132,5
sample_133,-1
sample_134,25
sample_135,-1
sample_136,23
sample_137,24
sample_138,27
sample_139,23
sample_140,20
sample_141,24
sample_142,24
sample_143,23
sample_144,21
sample_145,21
sample_146,21
sample_147,20
sample_148,-1
sample_149,21
sample_150,-1
sample_151,19
sample_152,-1
sample_153,19
sample_154,19
sample_155,19
sample_156,19
sample_157,18
sample_158,19
sample_159,19
sample_160,19
sample_161,19
sample_162,18
sample_163,19
sample_164,19
sample_165,19
sample_166,19
sample_167,19
sample_168,19
sample_169,19
sample_170,19
sample_171,19
sample_172,19
sample_173,19
sample_174,19
sample_175,19
sample_176,-1
sample_177,19
sample_178,-1
sample_179,19
sample_180,19
sample_181,19
sample_182,19
sample_183,19
sample_184,19
sample_185,19
sample_186,19
sample_187,19
sample_188,19
sample_189,19
sample_190,-1
sample_191,14
sample_192,11
sample_193,14
sample_194,-1
sample_195,11
sample_196,11
sample_197,11
sample_198,19
sample_199,11
sample_200,11
sample_201,10
sample_202,4
sample_203,0
sample_204,10
sample_205,0
sample_206,4
sample_207,10
sample_208,-1
sample_209,10
sample_210,10
sample_211,4
sample_212,9
sample_213,9
sample_214,10
sample_215,10
sample_216,10
sample_217,13
sample_218,10
sample_219,10
sample_220,10
sample_221,7
sample_222,12
sample_223,10
sample_224,10
sample_225,10
sample_226,12
sample_227,10
sample_228,12
sample_229,2
sample_230,13
sample_231,2
sample_232,10
sample_233,10
sample_234,2
sample_235,10
sample_236,2
sample_237,7
sample_238,10
sample_239,10
sample_240,3
sample_241,3
sample_242,7
sample_243,3
sample_244,-1
sample_245,7
sample_246,-1
sample_247,3
sample_248,3
sample_249,8
sample_250,8
